Material_ID,Formula,element_A,element_Aprime,element_B,element_Bprime,Formation_Energy_eV_atom,Energy_Above_Hull_eV,Band_Gap_eV,Total_Magnetization_uB,Volume_A3,Density_g_cm3,Space_Group_Symbol,Space_Group_Number,EN_A,EN_Aprime,EN_B,EN_Bprime,EN_O,EN_avg,Shannon_A,Shannon_Aprime,Shannon_B,Shannon_Bprime,Tolerance_Factor,Octahedral_Mismatch,Val_A,Val_Aprime,Val_B,Val_Bprime,Val_avg,Total_A_Charge,Group_B,Group_Bprime,Sum_Ox_B_Bprime,Ox_B,Ox_Bprime,d_electrons_B,d_electrons_Bprime,Total_d_electrons,Spin_Proxy_Distance,HS_moment_B,HS_moment_Bprime,Total_HS_FM,Total_HS_FiM,d_AO,d_BO,d_BprimeO,d_avg,E_GNN,M_net,M_abs
mp-1079926,La2ZrNiO6,La,La,Zr,Ni,-3.144442356,0.21829075762499883,1.9201000000000006,2.0027138,133.10732623705698,6.5335651816876075,Fm-3m,225,1.1,1.1,1.33,1.91,3.44,1.62,1.032,1.032,0.72,0.69,0.816951872610776,0.04255319148936174,3,3,4,10,7.0,6,4,10,6,1.5,4.5,2.5,5.5,8.0,3.0,2.5,4.5,7.0,2.0,2.432,2.12,2.09,2.105,-3.1069064397488386,2.0027138,7.0
mp-1079971,Sr2ZnMoO6,Sr,Sr,Zn,Mo,-2.5619588460000005,0.010877846000004077,2.4361,4.25e-05,129.9849552138211,5.52621613911213,I4/m,87,0.95,0.95,1.65,2.16,3.44,1.905,1.18,1.18,0.74,0.69,0.8625699742133772,0.06993006993006999,2,2,12,6,9.0,4,12,6,8,5.5,2.5,6.5,3.5,10.0,5.0,3.5,3.5,7.0,0.0,2.58,2.1399999999999997,2.09,2.1149999999999998,-2.577434629982072,4.25e-05,7.0
mp-1080028,Sr2ZrTiO6,Sr,Sr,Zr,Ti,-3.589645374333334,0.017015185749999162,2.516,0.0,133.6875456261517,5.096695249786058,I4/m,87,0.95,0.95,1.33,1.54,3.44,1.435,1.18,1.18,0.72,0.86,0.83302990660333,0.17721518987341772,2,2,4,4,4.0,4,4,4,8,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.58,2.12,2.26,2.19,-3.6145384683995623,0.0,0.0
mp-1080023,MoOs(PbO3)2,Pb,Pb,Mo,Os,-1.5327349709999993,0.1335721474999989,0.0,0.0040522,135.52555633238202,9.760001463819169,Fm-3m,225,1.8,1.8,2.16,2.2,3.44,2.18,1.19,1.19,0.69,0.63,0.8890323122685234,0.09090909090909083,2,2,6,8,7.0,4,6,8,8,3.5,4.5,2.5,3.5,6.0,1.0,2.5,3.5,6.0,1.0,2.59,2.09,2.03,2.0599999999999996,-1.5683093759780848,0.0040522,6.0
mp-1080123,Ba2LaIrO6,Ba,Ba,La,Ir,-2.7094955565000007,0.002358151999999336,0.0,2.0001472,162.06226823452286,7.190577306105338,Fm-3m,225,0.89,0.89,1.1,2.2,3.44,1.6500000000000001,1.35,1.35,1.032,0.68,0.8619431064995591,0.41121495327102797,2,2,4,9,6.5,4,3,9,8,2.5,5.5,0.5,3.5,4.0,1.0,0.5,3.5,4.0,3.0,2.75,2.432,2.08,2.2560000000000002,-2.6795746702702172,2.0001472,4.0
mp-1080434,Sr2YCoO6,Sr,Sr,Y,Co,-2.57161409725,0.07619040572917068,0.0,4e-06,534.6923229490615,5.205918389921076,Fm-3m,225,0.95,0.95,1.22,1.88,3.44,1.5499999999999998,1.18,1.18,0.9,0.65,0.8387749404419736,0.3225806451612903,2,2,3,9,6.0,4,3,9,8,2.5,5.5,0.5,3.5,4.0,1.0,0.5,3.5,4.0,3.0,2.58,2.3,2.05,2.175,-2.5585267841229187,4e-06,4.0
mp-1080507,Ca2TiMnO6,Ca,Ca,Ti,Mn,-3.0255128953764383,0.02028718716666944,1.1677000000000004,1e-07,444.2886869136165,4.170439172840485,I4/m,87,1.0,1.0,1.54,1.55,3.44,1.545,1.0,1.0,0.86,0.67,0.7838597112460572,0.24836601307189535,2,2,4,7,5.5,4,4,7,8,3.25,4.75,0.75,2.25,3.0,2.0,0.75,2.25,3.0,1.5,2.4,2.26,2.07,2.165,-3.0266245887946472,1e-07,3.0
mp-1080506,Sr2TaInO6,Sr,Sr,Ta,In,-3.0576499634000003,0.041872975499999576,4.0244,0.0,140.9485413887938,6.679951625108293,Fm-3m,225,0.95,0.95,1.5,1.78,3.44,1.6400000000000001,1.18,1.18,0.72,0.8,0.8445997664172651,0.10526315789473693,2,2,5,3,4.0,4,5,13,8,2.0,6.0,3.0,7.0,10.0,5.0,3.0,3.0,6.0,0.0,2.58,2.12,2.2,2.16,-3.0520505908736038,0.0,6.0
mp-1080470,Ba2SmOsO6,Ba,Ba,Sm,Os,-2.8243193915000004,0.0,0.07050000000000001,3.0006239,156.66156544095182,7.538814439074666,Fm-3m,225,0.89,0.89,1.17,2.2,3.44,1.685,1.35,1.35,0.958,0.63,0.8863006601016433,0.4130982367758186,2,2,4,8,6.0,4,4,8,8,3.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,2.75,2.3579999999999997,2.03,2.194,-2.846829172445968,3.0006239,4.0
mp-1080625,Sr2LiReO6,Sr,Sr,Li,Re,-2.7493427235833336,0.0,1.8425022901269674,0.0001602,127.17159722661064,6.06368447054162,I4/m,87,0.95,0.95,0.98,1.9,3.44,1.44,1.18,1.18,0.76,0.63,0.870804532439758,0.18705035971223022,2,2,4,7,5.5,4,4,7,8,3.25,4.75,0.75,2.25,3.0,2.0,0.75,2.25,3.0,1.5,2.58,2.16,2.03,2.0949999999999998,-2.700427683990997,0.0001602,3.0
